iata,name,city,state,country
OCA,Ocean Reef Club Airport,Key Largo,Florida,US
CYT,Yakataga Airport,Yakataga,Alaska,US
FWL,Farewell Airport,Farewell,Alaska,US
CSE,Crested Butte Airpark,Crested Butte,Colorado,US
CUS,Columbus Municipal Airport,Columbus,New Mexico,US
JCY,Lbj Ranch Airport,Johnson City,Texas,US
ICY,Icy Bay Airport,Icy Bay,Alaska,US
HGZ,Hog River Airport,Hogatza,Alaska,US
GWV,Fokker Field,Bush,Louisiana,US
BYW,Blakely Island Airport,Blakely Island,Washington,US
DRF,Drift River Airport,Kenai,Alaska,US
BDF,Rinkenberger Airport,Bradford,Illinois,US
CTO,Calverton Executive Airpark,Calverton,New York,US
RFK,Rollang Field,Rolling Fork,Mississippi,US
BCS,Southern Seaplane Airport,Belle Chasse,Louisiana,US
CWS,Center Island Airport,Center Island,Washington,US
DUF,Pine Island Airport,Corolla,North Carolina,US
SSW,Stuart Island Airpark,Stuart Island,Washington,US
FOB,Fort Bragg Airport,Fort Bragg,California,US
MHN,Hooker County Airport,Mullen,Nebraska,US
AXB,Maxson Airfield,Alexandria Bay,New York,US
REE,Reese Airpark,Lubbock,Texas,US
CEX,Chena Hot Springs Airport,Chena Hot Springs,Alaska,US
SOL,Solomon State Field,Solomon,Alaska,US
HED,Herendeen Bay Airport,Herendeen Bay,Alaska,US
TWE,Taylor Airport,Taylor,Alaska,US
LNI,Lonely Air Station,Lonely,Alaska,US
CDL,Candle 2 Airport,Candle,Alaska,US
BSW,Boswell Bay Airport,Boswell Bay,Alaska,US
SRF,San Rafael Airport,San Rafael,California,US
PYS,Paradise Skypark Airport,Paradise,California,US
HPV,Princeville Airport,Hanalei,Hawaii,US
AMK,Animas Air Park,Durango,Colorado,US
BDX,Broadus Airport,Broadus,Montana,US
EUE,Eureka Airport,Eureka,Nevada,US
KPT,Jackpot/Hayden Field,Jackpot,Nevada,US
PQS,Pilot Station Airport,Pilot Station,Alaska,US
FID,Elizabeth Field,Fishers Island,New York,US
RTL,Spirit Lake Municipal Airport,Spirit Lake,Iowa,US
HUD,Humboldt Municipal Airport,Humboldt,Iowa,US
TWD,Jefferson County International Airport,Port Townsend,Washington,US
MVM,Kayenta Airport,Kayenta,Arizona,US
HCC,Columbia County Airport,Hudson,New York,US
AHD,Ardmore Downtown Executive Airport,Ardmore,Oklahoma,US
GCW,Grand Canyon West Airport,Peach Springs,Arizona,US
KKK,Kalakaket Creek Air Station,Kalakaket Creek,Alaska,US
CKE,Lampson Field,Lakeport,California,US
ROF,Montague-Yreka Rohrer Field,Montague,California,US
MHS,Dunsmuir Municipal-Mott Airport,Dunsmuir,California,US
PLY,Plymouth Municipal Airport,Plymouth,New Hampshire,US
PGC,Grant County Airport,Hyannis,Nebraska,US
CNE,Fremont County Airport,Canon City,Colorado,US
LVD,Lime Village Airport,Lime Village,Alaska,US
NWH,Parlin Field,Newport,New Hampshire,US
IRB,Iraan Municipal Airport,Iraan,Texas,US
ODM,Garrett County Airport,Oakland,Maryland,US
TLF,Telida Airport,Telida,Alaska,US
GNF,Gansner Field,Quincy,California,US
CHZ,Chiloquin State Airport,Chiloquin,Oregon,US
LTW,St Mary's County Regional Airport,Leonardtown,Maryland,US
USC,"Union County, Troy Shelton Field",Union,South Carolina,US
AHF,Arapahoe Municipal Airport,Arapahoe,Nebraska,US
PCT,Princeton Airport,Princeton/Rocky Hill,New Jersey,US
NRI,Grand Lake Regional Airport,Afton,Oklahoma,US
GTP,Grants Pass Airport,Grants Pass,Oregon,US
TEH,Tetlin Airport,Tetlin,Alaska,US
NLE,Jerry Tyler Memorial Airport,Niles,Michigan,US
VRS,Roy Otten Memorial Airfield,Versailles,Missouri,US
GCD,Grand Coulee Dam Airport,Electric City,Washington,US
VLE,Valle Airport,Grand Canyon,Arizona,US
JVI,Central Jersey Regional Airport,Manville,New Jersey,US
ATT,Atmautluak Airport,Atmautluak,Alaska,US
LIV,Livengood Camp Airport,Livengood,Alaska,US
PDB,Pedro Bay Airport,Pedro Bay,Alaska,US
KOZ,Ouzinkie Airport,Ouzinkie,Alaska,US
UCE,Eunice Airport,Eunice,Louisiana,US
GOL,Gold Beach Municipal Airport,Gold Beach,Oregon,US
RNG,Rangely Airport,Rangely,Colorado,US
KKT,Kentland Municipal Airport,Kentland,Indiana,US
MNT,Minto Al Wright Airport,Minto,Alaska,US
WKK,Aleknagik /New Airport,Aleknagik,Alaska,US
PRW,Prentice Airport,Prentice,Wisconsin,US
NNK,Naknek Airport,Naknek,Alaska,US
EGP,Maverick County Memorial International Airport,Eagle Pass,Texas,US
MFH,Mesquite Airport,Mesquite,Nevada,US
MMN,Minute Man Air Field,Stow,Massachusetts,US
ECA,Iosco County Airport,East Tawas,Michigan,US
OLH,Old Harbor Airport,Old Harbor,Alaska,US
FMU,Florence Municipal Airport,Florence,Oregon,US
OTS,Anacortes Airport,Anacortes,Washington,US
ROL,Roosevelt Municipal Airport,Roosevelt,Utah,US
WPO,North Fork Valley Airport,Paonia,Colorado,US
ATE,Antlers Municipal Airport,Antlers,Oklahoma,US
UGS,Ugashik Airport,Ugashik,Alaska,US
WTL,Tuntutuliak Airport,Tuntutuliak,Alaska,US
TWA,Twin Hills Airport,Twin Hills,Alaska,US
KCQ,Chignik Lake Airport,Chignik Lake,Alaska,US
AAF,Apalachicola Regional-Cleve Randolph Field,Apalachicola,Florida,US
ABE,Lehigh Valley International Airport,Allentown,Pennsylvania,US
ABI,Abilene Regional Airport,Abilene,Texas,US
ABQ,Albuquerque International Sunport Airport,Albuquerque,New Mexico,US
ABR,Aberdeen Regional Airport,Aberdeen,South Dakota,US
ABY,Southwest Georgia Regional Airport,Albany,Georgia,US
ACB,Antrim County Airport,Bellaire,Michigan,US
ACK,Nantucket Memorial Airport,Nantucket,Massachusetts,US
ACT,Waco Regional Airport,Waco,Texas,US
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,California,US
ACY,Atlantic City International Airport,Atlantic City,New Jersey,US
ADG,Lenawee County Airport,Adrian,Michigan,US
ADT,Ada Regional Airport,Ada,Oklahoma,US
ADM,Ardmore Municipal Airport,Ardmore,Oklahoma,US
ADS,Addison Airport,Dallas,Texas,US
ADW,Joint Base Andrews Airport,Camp Springs,Maryland,US
AEL,Albert Lea Municipal Airport,Albert Lea,Minnesota,US
AEX,Alexandria International Airport,Alexandria,Louisiana,US
AFF,Davis Field (Usaf Academy Field) Airport,Colorado Springs,Colorado,US
WSG,Washington County Airport,Washington,Pennsylvania,US
AFN,Jaffrey Airfield Silver Ranch Airport,Jaffrey,New Hampshire,US
AFO,Afton Municipal Airport,Afton,Wyoming,US
AFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,Texas,US
AGC,Allegheny County Airport,Pittsburgh,Pennsylvania,US
AGO,Ralph C Weiser Field,Magnolia,Arkansas,US
AGS,Augusta Regional At Bush Field,Augusta,Georgia,US
AHC,Amedee Army Air Field,Herlong,California,US
AHH,Amery Municipal Airport,Amery,Wisconsin,US
AHN,Athens/Ben Epps Airport,Athens,Georgia,US
AIA,Alliance Municipal Airport,Alliance,Nebraska,US
AID,Anderson Municipal-Darlington Field,Anderson,Indiana,US
AIK,Aiken Regional Airport,Aiken,South Carolina,US
AIO,Atlantic Municipal Airport,Atlantic,Iowa,US
AIV,George Downer Airport,Aliceville,Alabama,US
AIZ,Lee C Fine Memorial Airport,Kaiser/Lake Ozark,Missouri,US
AKO,Colorado Plains Regional Airport,Akron,Colorado,US
AKC,Akron Fulton International Airport,Akron,Ohio,US
ALB,Albany International Airport,Albany,New York,US
ALI,Alice International Airport,Alice,Texas,US
ALM,Alamogordo-White Sands Regional Airport,Alamogordo,New Mexico,US
ALN,St Louis Regional Airport,Alton/St Louis,Illinois,US
ALO,Waterloo Regional Airport,Waterloo,Iowa,US
ALS,San Luis Valley Regional/Bergman Field,Alamosa,Colorado,US
ALW,Walla Walla Regional Airport,Walla Walla,Washington,US
ALX,Thomas C Russell Field,Alexander City,Alabama,US
AMA,Rick Husband Amarillo International Airport,Amarillo,Texas,US
AMN,Gratiot Community Airport,Alma,Michigan,US
AMW,Ames Municipal Airport,Ames,Iowa,US
ANB,Anniston Regional Airport,Anniston,Alabama,US
AND,Anderson Regional Airport,Anderson,South Carolina,US
SLT,Salida/Harriett Alexander Field,Salida,Colorado,US
ANP,Lee Airport,Annapolis,Maryland,US
ANQ,Tri-State Steuben County Airport,Angola,Indiana,US
ANW,Ainsworth Regional Airport,Ainsworth,Nebraska,US
ANY,Anthony Municipal Airport,Anthony,Kansas,US
AOH,Lima Allen County Airport,Lima,Ohio,US
AOO,Altoona/Blair County Airport,Altoona,Pennsylvania,US
APA,Centennial Airport,Denver,Colorado,US
APC,Napa County Airport,Napa,California,US
APF,Naples Municipal Airport,Naples,Florida,US
APG,Phillips Army Air Field,Aberdeen Proving Grounds (Aberdeen),Maryland,US
APH,Mary Walker Lz Airport,Bowling Green,Virginia,US
APN,Alpena County Regional Airport,Alpena,Michigan,US
APT,Marion County/Brown Field,Jasper,Tennessee,US
APV,Apple Valley Airport,Apple Valley,California,US
AQY,Girdwood Airport,Girdwood,Alaska,US
ARA,Acadiana Regional Airport,New Iberia,Louisiana,US
ARB,Ann Arbor Municipal Airport,Ann Arbor,Michigan,US
ARG,Walnut Ridge Regional Airport,Walnut Ridge,Arkansas,US
WHT,Wharton Regional Airport,Wharton,Texas,US
AUZ,Aurora Municipal Airport,Chicago/Aurora,Illinois,US
ART,Watertown International Airport,Watertown,New York,US
ARV,Lakeland/Noble F Lee Memorial Field,Minocqua-Woodruff,Wisconsin,US
BFT,Beaufort Executive Airport,Beaufort,South Carolina,US
ASE,Aspen-Pitkin County/Sardy Field,Aspen,Colorado,US
SPZ,Springdale Municipal Airport,Springdale,Arkansas,US
ASH,Boire Field,Nashua,New Hampshire,US
ASL,Harrison County Airport,Marshall,Texas,US
ASN,Talladega Municipal Airport,Talladega,Alabama,US
AST,Astoria Regional Airport,Astoria,Oregon,US
ASX,John F Kennedy Memorial Airport,Ashland,Wisconsin,US
ASY,Ashley Municipal Airport,Ashley,North Dakota,US
ATL,Hartsfield - Jackson Atlanta International Airport,Atlanta,Georgia,US
ATS,Artesia Municipal Airport,Artesia,New Mexico,US
ATW,Appleton International Airport,Appleton,Wisconsin,US
ATY,Watertown Regional Airport,Watertown,South Dakota,US
AUG,Augusta State Airport,Augusta,Maine,US
AUM,Austin Municipal Airport,Austin,Minnesota,US
AUN,Auburn Municipal Airport,Auburn,California,US
AUO,Auburn University Regional Airport,Auburn,Alabama,US
AUS,Austin-Bergstrom International Airport,Austin,Texas,US
AUW,Wausau Downtown Airport,Wausau,Wisconsin,US
AVL,Asheville Regional Airport,Asheville,North Carolina,US
AVO,Avon Park Executive Airport,Avon Park,Florida,US
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,Pennsylvania,US
AVW,Marana Regional Airport,Marana,Arizona,US
AVX,Catalina Airport,Avalon,California,US
AWM,West Memphis Municipal Airport,West Memphis,Arkansas,US
AXG,Algona Municipal Airport,Algona,Iowa,US
AXN,Chandler Field,Alexandria,Minnesota,US
AXS,Altus/Quartz Mountain Regional Airport,Altus,Oklahoma,US
AXV,Neil Armstrong Airport,Wapakoneta,Ohio,US
AXX,Angel Fire Airport,Angel Fire,New Mexico,US
AYS,Waycross-Ware County Airport,Waycross,Georgia,US
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,Michigan,US
BAB,Beale Afb Airport,Marysville,California,US
BAD,Barksdale Afb Airport,Bossier City,Louisiana,US
BAF,Westfield-Barnes Regional Airport,Westfield/Springfield,Massachusetts,US
CLU,Columbus Municipal Airport,Columbus,Indiana,US
BAM,Battle Mountain Airport,Battle Mountain,Nevada,US
BBB,Benson Municipal Airport,Benson,Minnesota,US
BBD,Curtis Field,Brady,Texas,US
BKG,Branson Airport,Branson,Missouri,US
BTN,Marlboro County Jetport - H E Avent Field,Bennettsville,South Carolina,US
BBW,Broken Bow Municipal/Keith Glaze Field,Broken Bow,Nebraska,US
BCB,Virginia Tech/Montgomery Executive Airport,Blacksburg,Virginia,US
BCE,Bryce Canyon Airport,Bryce Canyon,Utah,US
BCT,Boca Raton Airport,Boca Raton,Florida,US
BDE,Baudette International Airport,Baudette,Minnesota,US
BDG,Blanding Municipal Airport,Blanding,Utah,US
ILL,Willmar Municipal/John L Rice Field,Willmar,Minnesota,US
BDL,Bradley International Airport,Windsor Locks,Connecticut,US
BDR,Bridgeport/Sikorsky Airport,Bridgeport,Connecticut,US
WBU,Boulder Municipal Airport,Boulder,Colorado,US
BEC,Beech Factory Airport,Wichita,Kansas,US
BED,Laurence G Hanscom Field,Bedford,Massachusetts,US
BEH,Southwest Michigan Regional Airport,Benton Harbor,Michigan,US
BFD,Bradford Regional Airport,Bradford,Pennsylvania,US
BFF,Western Nebraska Regional/William B Heilig Field,Scottsbluff,Nebraska,US
BFI,Boeing Field/King County International Airport,Seattle,Washington,US
BFL,Meadows Field,Bakersfield,California,US
BFM,Mobile International Airport,Mobile,Alabama,US
BFR,Virgil I Grissom Municipal Airport,Bedford,Indiana,US
BGD,Hutchinson County Airport,Borger,Texas,US
BGE,Decatur County Industrial Air Park,Bainbridge,Georgia,US
BGM,Greater Binghamton/Edwin A Link Field,Binghamton,New York,US
BGR,Bangor International Airport,Bangor,Maine,US
BHB,Hancock County/Bar Harbor Airport,Bar Harbor,Maine,US
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,Alabama,US
BID,Block Island State Airport,Block Island,Rhode Island,US
BIE,Beatrice Municipal Airport,Beatrice,Nebraska,US
BIF,Biggs Army Air Field (Fort Bliss) Airport,Fort Bliss/El Paso/,Texas,US
BIH,Bishop Airport,Bishop,California,US
BIL,Billings Logan International Airport,Billings,Montana,US
BIS,Bismarck Municipal Airport,Bismarck,North Dakota,US
BIX,Keesler Afb Airport,Biloxi,Mississippi,US
BJC,Rocky Mountain Metro Airport,Denver,Colorado,US
BJI,Bemidji Regional Airport,Bemidji,Minnesota,US
BJJ,Wayne County Airport,Wooster,Ohio,US
BKD,Stephens County Airport,Breckenridge,Texas,US
BKE,Baker City Municipal Airport,Baker City,Oregon,US
BFK,Buckley Space Force Base Airport,Aurora,Colorado,US
BKL,Burke Lakefront Airport,Cleveland,Ohio,US
BWL,Blackwell-Tonkawa Municipal Airport,Blackwell,Oklahoma,US
BKT,Allen C Perkinson Blackstone Army Air Field,Blackstone,Virginia,US
BKW,Raleigh County Memorial Airport,Beckley,West Virginia,US
BKX,Brookings Regional Airport,Brookings,South Dakota,US
BLF,Mercer County Airport,Bluefield,West Virginia,US
BLH,Blythe Airport,Blythe,California,US
BLI,Bellingham International Airport,Bellingham,Washington,US
BLM,Monmouth Executive Airport,Belmar/Farmingdale,New Jersey,US
BLU,Blue Canyon - Nyack Airport,Emigrant Gap,California,US
BLV,Scott Afb/Midamerica St Louis Airport,Belleville,Illinois,US
BMC,Brigham City Regional Airport,Brigham City,Utah,US
BMG,Monroe County Airport,Bloomington,Indiana,US
BMI,Central Il Regional/Bloomington-Normal Airport,Bloomington/Normal,Illinois,US
BML,Berlin Regional Airport,Berlin,New Hampshire,US
BMT,Beaumont Municipal Airport,Beaumont,Texas,US
BNA,Nashville International Airport,Nashville,Tennessee,US
BNG,Banning Municipal Airport,Banning,California,US
BNL,Barnwell Regional Airport,Barnwell,South Carolina,US
BNO,Burns Municipal Airport,Burns,Oregon,US
BNW,Boone Municipal Airport,Boone,Iowa,US
BOI,Boise Air Trml/Gowen Field,Boise,Idaho,US
BOK,Brookings Airport,Brookings,Oregon,US
BOS,General Edward Lawrence Logan International Airport,Boston,Massachusetts,US
BOW,Bartow Executive Airport,Bartow,Florida,US
HCA,Big Spring Mc Mahon-Wrinkle Airport,Big Spring,Texas,US
BPI,Miley Memorial Field,Big Piney,Wyoming,US
WMH,Baxter County Airport,Mountain Home,Arkansas,US
BPT,Jack Brooks Regional Airport,Beaumont/Port Arthur,Texas,US
BQK,Brunswick Golden Isles Airport,Brunswick,Georgia,US
BRD,Brainerd Lakes Regional Airport,Brainerd,Minnesota,US
BRL,Southeast Iowa Regional Airport,Burlington,Iowa,US
BRO,Brownsville/South Padre Island International Airport,Brownsville,Texas,US
BRY,Samuels Field,Bardstown,Kentucky,US
BTF,Skypark Airport,Bountiful,Utah,US
BTL,Battle Creek Executive At Kellogg Field,Battle Creek,Michigan,US
BTM,Bert Mooney Airport,Butte,Montana,US
TTO,Britton Municipal Airport,Britton,South Dakota,US
BTP,Pittsburgh/Butler Regional Airport,Butler,Pennsylvania,US
BTR,"Baton Rouge Metro, Ryan Field",Baton Rouge,Louisiana,US
BTV,Patrick Leahy Burlington International Airport,Burlington,Vermont,US
BTY,Beatty Airport,Beatty,Nevada,US
BUB,Cram Field,Burwell,Nebraska,US
BUF,Buffalo Niagara International Airport,Buffalo,New York,US
BUM,Butler Memorial Airport,Butler,Missouri,US
BUR,Bob Hope Airport,Burbank,California,US
BFP,Beaver County Airport,Beaver Falls,Pennsylvania,US
BVO,Bartlesville Municipal Airport,Bartlesville,Oklahoma,US
MVW,Skagit Regional Airport,Burlington/Mount Vernon,Washington,US
BLD,Boulder City Municipal Airport,Boulder City,Nevada,US
BVX,Batesville Regional Airport,Batesville,Arkansas,US
BVY,Beverly Regional Airport,Beverly,Massachusetts,US
BWC,Brawley Municipal Airport,Brawley,California,US
BWD,Brownwood Regional Airport,Brownwood,Texas,US
BWG,Bowling Green-Warren County Regional Airport,Bowling Green,Kentucky,US
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,US
WAH,Harry Stern Airport,Wahpeton,North Dakota,US
BXA,George R Carr Memorial Air Field,Bogalusa,Louisiana,US
BXK,Buckeye Municipal Airport,Buckeye,Arizona,US
NHZ,Brunswick Executive Airport,Brunswick,Maine,US
BYA,Boundary Airport,Boundary,Alaska,US
BYG,Johnson County Airport,Buffalo,Wyoming,US
BYH,Arkansas International Airport,Blytheville,Arkansas,US
BYI,Burley Municipal Airport,Burley,Idaho,US
BYS,Bicycle Lake Army Air Field,Fort Irwin/Barstow,California,US
BBC,Bay City Regional Airport,Bay City,Texas,US
BZN,Bozeman Yellowstone International Airport,Bozeman,Montana,US
XES,Grand Geneva Resort Airport,Lake Geneva,Wisconsin,US
CLG,New Coalinga Municipal Airport,Coalinga,California,US
CAD,Wexford County Airport,Cadillac,Michigan,US
CAE,Columbia Metro Airport,Columbia,South Carolina,US
CIG,Craig-Moffat Airport,Craig,Colorado,US
CAK,Akron-Canton Regional Airport,Akron,Ohio,US
CAO,Clayton Municipal Airpark,Clayton,New Mexico,US
CAR,Caribou Municipal Airport,Caribou,Maine,US
CBE,Greater Cumberland Regional Airport,Cumberland,Maryland,US
CBF,Council Bluffs Municipal Airport,Council Bluffs,Iowa,US
CBK,Shalz Field,Colby,Kansas,US
CBM,Columbus Afb Airport,Columbus,Mississippi,US
CCB,Cable Airport,Upland,California,US
CCR,Buchanan Field,Concord,California,US
CCY,Northeast Iowa Regional Airport,Charles City,Iowa,US
LLX,Caledonia County Airport,Lyndonville,Vermont,US
CDC,Cedar City Regional Airport,Cedar City,Utah,US
CDH,Harrell Field,Camden,Arkansas,US
CDK,George T Lewis Airport,Cedar Key,Florida,US
CDN,Woodward Field,Camden,South Carolina,US
CDR,Chadron Municipal Airport,Chadron,Nebraska,US
CDS,Childress Municipal Airport,Childress,Texas,US
CDW,Essex County Airport,Caldwell,New Jersey,US
CEA,Cessna Acft Field,Wichita,Kansas,US
CEC,Jack Mc Namara Field,Crescent City,California,US
CEF,Westover Arb/Metro Airport,Springfield/Chicopee,Massachusetts,US
CEU,Oconee County Regional Airport,Clemson,South Carolina,US
CEV,Mettel Field,Connersville,Indiana,US
CEW,Bob Sikes Airport,Crestview,Florida,US
CEY,Kyle-Oakley Field,Murray,Kentucky,US
CEZ,Cortez Municipal Airport,Cortez,Colorado,US
CFD,Coulter Field,Bryan,Texas,US
TZC,Tuscola Area Airport,Caro,Michigan,US
CFT,Greenlee County Airport,Clifton/Morenci,Arizona,US
CFV,Coffeyville Municipal Airport,Coffeyville,Kansas,US
CGE,Cambridge-Dorchester Regional Airport,Cambridge,Maryland,US
CGF,Cuyahoga County Airport,Cleveland,Ohio,US
CGI,Cape Girardeau Regional Airport,Cape Girardeau,Missouri,US
CGS,College Park Airport,College Park,Maryland,US
CGZ,Casa Grande Municipal Airport,Casa Grande,Arizona,US
CHA,Lovell Field,Chattanooga,Tennessee,US
CHK,Chickasha Municipal Airport,Chickasha,Oklahoma,US
CHO,Charlottesville-Albemarle Airport,Charlottesville,Virginia,US
CHP,Circle Hot Springs Airport,Circle Hot Springs,Alaska,US
CHS,Charleston Afb/International Airport,Charleston,South Carolina,US
CIC,Chico Regional Airport,Chico,California,US
CID,The Eastern Iowa Airport,Cedar Rapids,Iowa,US
CIN,Arthur N Neu Airport,Carroll,Iowa,US
CIR,Cairo Regional Airport,Cairo,Illinois,US
CIU,Chippewa County International Airport,Sault Ste Marie,Michigan,US
CKA,Kegelman Af Aux Field,Cherokee,Oklahoma,US
CKB,North Central West Virginia Airport,Clarksburg,West Virginia,US
GRM,Grand Marais/Cook County Airport,Grand Marais,Minnesota,US
CKM,Fletcher Field,Clarksdale,Mississippi,US
CKN,Crookston Municipal/Kirkwood Field,Crookston,Minnesota,US
CKU,Cordova Municipal Airport,Cordova,Alaska,US
CKV,Outlaw Field,Clarksville,Tennessee,US
CKX,Chicken Airport,Chicken,Alaska,US
CLE,Cleveland-Hopkins International Airport,Cleveland,Ohio,US
CLI,Clintonville Municipal Airport,Clintonville,Wisconsin,US
CLK,Clinton Regional Airport,Clinton,Oklahoma,US
CLL,Easterwood Field,College Station,Texas,US
CLM,William R Fairchild International Airport,Port Angeles,Washington,US
CLR,Cliff Hatfield Memorial Airport,Calipatria,California,US
CLS,Chehalis-Centralia Airport,Chehalis,Washington,US
CLT,Charlotte/Douglas International Airport,Charlotte,North Carolina,US
CLW,Clearwater Air Park,Clearwater,Florida,US
CMH,John Glenn Columbus International Airport,Columbus,Ohio,US
CMI,University Of Illinois/Willard Airport,Champaign/Urbana,Illinois,US
CMX,Houghton County Memorial Airport,Hancock,Michigan,US
CMY,Sparta/Fort Mc Coy Airport,Sparta,Wisconsin,US
CNH,Claremont Municipal Airport,Claremont,New Hampshire,US
CNK,Blosser Municipal Airport,Concordia,Kansas,US
CNM,Cavern City Air Trml Airport,Carlsbad,New Mexico,US
CNO,Chino Airport,Chino,California,US
CNU,Chanute Martin Johnson Airport,Chanute,Kansas,US
CNW,Tstc Waco Airport,Waco,Texas,US
CNY,Canyonlands Regional Airport,Moab,Utah,US
COD,Yellowstone Regional Airport,Cody,Wyoming,US
COE,Coeur D'Alene/Pappy Boyington Field,Coeur D'Alene,Idaho,US
COF,Patrick Space Force Base Airport,Cocoa Beach,Florida,US
COI,Merritt Island Airport,Merritt Island,Florida,US
COM,Coleman Municipal Airport,Coleman,Texas,US
CON,Concord Municipal Airport,Concord,New Hampshire,US
COS,City Of Colorado Springs Municipal Airport,Colorado Springs,Colorado,US
COT,Cotulla-La Salle County Airport,Cotulla,Texas,US
COU,Columbia Regional Airport,Columbia,Missouri,US
CPM,Compton/Woodley Airport,Compton,California,US
CPR,Casper/Natrona County International Airport,Casper,Wyoming,US
CPS,St Louis Downtown Airport,Cahokia/St Louis,Illinois,US
HCW,Cheraw Municipal/Lynch Bellinger Field,Cheraw,South Carolina,US
CRE,Grand Strand Airport,North Myrtle Beach,South Carolina,US
CRG,Jacksonville Executive At Craig Airport,Jacksonville,Florida,US
CRP,Corpus Christi International Airport,Corpus Christi,Texas,US
CLD,Mc Clellan-Palomar Airport,Carlsbad,California,US
CRS,C David Campbell Field-Corsicana Municipal Airport,Corsicana,Texas,US
CRT,Z M Jack Stell Field,Crossett,Arkansas,US
CRW,West Virginia International Yeager Airport,Charleston,West Virginia,US
CRX,Roscoe Turner Airport,Corinth,Mississippi,US
CSG,Columbus Airport,Columbus,Georgia,US
CSM,Clinton/Sherman Airport,Burns Flat,Oklahoma,US
CSQ,Creston Municipal Airport,Creston,Iowa,US
CSV,Crossville Memorial-Whitson Field,Crossville,Tennessee,US
CTB,Cut Bank International Airport,Cut Bank,Montana,US
CTK,Ingersoll Airport,Canton,Illinois,US
CTY,Cross City Airport,Cross City,Florida,US
CTZ,Clinton-Sampson County Airport,Clinton,North Carolina,US
CUB,Jim Hamilton L B Owens Airport,Columbia,South Carolina,US
CUH,Cushing Municipal Airport,Cushing,Oklahoma,US
CVG,Cincinnati/Northern Kentucky International Airport,Covington,Kentucky,US
HLI,Hollister Municipal Airport,Hollister,California,US
CKK,Sharp County Regional Airport,Ash Flat,Arkansas,US
CVN,Clovis Regional Airport,Clovis,New Mexico,US
CVO,Corvallis Municipal Airport,Corvallis,Oregon,US
CVS,Cannon Afb Airport,Clovis,New Mexico,US
CWA,Central Wisconsin Airport,Mosinee,Wisconsin,US
KIP,Kickapoo Downtown Airport,Wichita Falls,Texas,US
CWF,Chennault International Airport,Lake Charles,Louisiana,US
CWI,Clinton Municipal Airport,Clinton,Iowa,US
CXC,Chitina Airport,Chitina,Alaska,US
CXL,Calexico International Airport,Calexico,California,US
CXO,Conroe/North Houston Regional Airport,Houston,Texas,US
CSN,Carson City Airport,Carson City,Nevada,US
HAR,Capital City Airport,Harrisburg,Pennsylvania,US
CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,Wyoming,US
CZK,Cascade Locks State Airport,Cascade Locks,Oregon,US
CZN,Chisana Airport,Chisana,Alaska,US
CZO,Chistochina Airport,Chistochina,Alaska,US
CZT,Dimmit County Airport,Carrizo Springs,Texas,US
VEX,Tioga Municipal Airport,Tioga,North Dakota,US
DJN,Delta Junction Airport,Delta Junction,Alaska,US
DAA,Davison Army Air Field,Fort Belvoir,Virginia,US
DAB,Daytona Beach International Airport,Daytona Beach,Florida,US
DAG,Barstow-Daggett Airport,Daggett,California,US
DAL,Dallas Love Field,Dallas,Texas,US
DAN,Danville Regional Airport,Danville,Virginia,US
DAY,James M Cox Dayton International Airport,Dayton,Ohio,US
DBN,W H 'Bud' Barron Airport,Dublin,Georgia,US
DBQ,Dubuque Regional Airport,Dubuque,Iowa,US
DCA,Ronald Reagan Washington Ntl Airport,Washington,District of Columbia,US
DCU,Pryor Field Regional Airport,Decatur,Alabama,US
DDC,Dodge City Regional Airport,Dodge City,Kansas,US
DEC,Decatur Airport,Decatur,Illinois,US
DEH,Decorah Municipal Airport,Decorah,Iowa,US
DEN,Denver International Airport,Denver,Colorado,US
DET,Coleman A Young Municipal Airport,Detroit,Michigan,US
DFI,Defiance Memorial Airport,Defiance,Ohio,US
DFW,Dallas-Fort Worth International Airport,Dallas-Fort Worth,Texas,US
DGL,Douglas Municipal Airport,Douglas,Arizona,US
DGW,Converse County Airport,Douglas,Wyoming,US
DHN,Dothan Regional Airport,Dothan,Alabama,US
DHT,Dalhart Municipal Airport,Dalhart,Texas,US
DIK,Dickinson/Theodore Roosevelt Regional Airport,Dickinson,North Dakota,US
DKK,Chautauqua County/Dunkirk Airport,Dunkirk,New York,US
DLL,Dillon County Airport,Dillon,South Carolina,US
DLF,Laughlin Afb Airport,Del Rio,Texas,US
DLH,Duluth International Airport,Duluth,Minnesota,US
DLN,Dillon Airport,Dillon,Montana,US
DLS,Columbia Gorge Regional/The Dalles Municipal Airport,The Dalles,Oregon,US
DMA,Davis Monthan Afb Airport,Tucson,Arizona,US
DMN,Deming Municipal Airport,Deming,New Mexico,US
DMO,Sedalia Regional Airport,Sedalia,Missouri,US
DNL,Daniel Field,Augusta,Georgia,US
DNN,Dalton Municipal Airport,Dalton,Georgia,US
DNS,Denison Municipal Airport,Denison,Iowa,US
